충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
서초구청,서울특별시 서초구 남부순환로 2584,서울특별시,연중무효,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,4,1,Y,서울특별시 서초구 양재대로12길 74 1층 입구,,환경부(한국자동차환경협회),1661-9408,37.4522334,127.0427909,2018-07-18,3210000,서울특별시 서초구,
서초지사,서울특별시 서초구 효령로 72길 60,서울특별시,연중무효,00:00,24:00,Y,N,,1,2,Y,서울특별시 서초구 남부순환로 2584,,한국전기차충전서비스,1522-1782,37.4835872,127.0326987,2018-07-18,3210000,서울특별시 서초구,
신영체르니,서울특별시 서초구 논현로27길 57 지하주차장(양재동 90),서울특별시,연중무효,00:00,24:00,Y,N,,1,,Y,서울특별시 서초구 효령로 72길 60,,한국전력,02-2105-8283,37.4856225,127.0280556,2018-07-18,3210000,서울특별시 서초구,
예술의 전당,서울특별시 서초구 서초동 700,서울특별시,연중무효,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,,1,Y,서울특별시 서초구 논현로27길 57 지하주차장(양재동 90),,지엔텔,1544-4279,37.4790189,127.041438,2018-07-18,3210000,서울특별시 서초구,
하나로마트 양재점,서울특별시 서초구 청계산로 10,서울특별시,연중무효,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,서울특별시 서초구 서초동 700,,한국전력,02-2105-8282,37.4786094,127.0113069,2018-07-18,3210000,서울특별시 서초구,
한국타이어 서초점,서울특별시 서초구 서초동 1343-2,서울특별시,연중무효,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,,1,Y,서울특별시 서초구 청계산로 10,,한국전기차충전서비스,1522-1782,37.4629917,127.0434134,2018-07-18,3210000,서울특별시 서초구,
경기도청 북부청사,외부 주차장,경기도,연중무휴,00:00,23:59,Y,N,AC3상,1,0,N,경기도 의정부시 청사로 1 (신곡동),경기도 의정부시 신곡2동 800 경기도청 북부청사,경기도청 북부청사,031-8030-2284,37.7467948,127.0700528,2018-06-20,3820000,경기도 의정부시,
홈플러스 의정부점,지상5층 주차장,경기도,"매월 2,4주 일요일",10:00,23:40,N,Y,AC3상+DC차데모,0,1,N,경기도 의정부시 청사로 38 (금오동) 홈플러스 의정부점,경기도 의정부시 금오동 475-1 홈플러스 의정부점,한국자동차환경협회,1661-9408,37.737847,127.0351108,2018-06-20,3820000,경기도 의정부시,
이마트 의정부점,본관6층 F구역,경기도,"매월 2,4주 일요일",10:00,23:00,Y,N,AC상,1,0,N,경기도 의정부시 민락로 210,경기도 의정부시 민락동 849,포스코ICT,1600-4047,37.7430345,127.1023135,2018-06-20,3820000,경기도 의정부시,
경기북부직할(한국전력),1층 주차장,경기도,연중무휴,06:00,23:00,N,Y,AC3상+DC차데모+DC콤보,0,2,N,경기도 의정부시 용민로19번길 80,,한국전력,1899-2100,37.7377851,127.0808960,2018-06-20,3820000,경기도 의정부시,
백석천 지하2주차장,지하2층,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,경기도 의정부시 시민로19번길 13,경기도 의정부시 의정부동 488,환경공단,1661-9408,37.738521,127.035707,2018-06-20,3820000,경기도 의정부시,
두류공원관리소,두류공원 성당휴게소 주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 공원순환로 216,대구광역시 달서구 성당동 195-11,환경부(한국자동차환경협회),1661-9408,35.844762,128.561782,2018-07-31,3470000,대구광역시 달서구,
성서국민체육센터,성서국민체육센터 주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 선원로 133,대구광역시 달서구 이곡동 1325,환경부(한국자동차환경협회),1661-9408,35.859916,128.506975,2018-07-31,3470000,대구광역시 달서구,
달서구청,달서구청 입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동 281,대구환경공단,053-605-8060,35.829472,128.532979,2018-07-31,3470000,대구광역시 달서구,
대구도시철도공사,입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 월배로 250,대구광역시 달서구 상인1동  1500,대구환경공단,053-605-8060,35.819733,128.541143,2018-07-31,3470000,대구광역시 달서구,
성서홈플러스,지하4층 40,대구광역시,연중무휴,04:30,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,Y,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동  230-11,대구환경공단,053-605-8060,35.849357,128.526174,2018-07-31,3470000,대구광역시 달서구,
시설안전관리사업소,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 달서구 성서공단로 58,대구광역시 달서구 대천동  891,대구환경공단,053-605-8060,35.8336767,128.4892806,2018-07-31,3470000,대구광역시 달서구,
서구법원 앞,도로면,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 용산동 230-5,대구광역시 달서구 용산동 230-5,대구환경공단,053-605-8060,35.8515277,128.5283935,2018-07-31,3470000,대구광역시 달서구,
두류공원,입구 우측,대구광역시,연중무휴,00:00,00:00,Y,N,,4,0,N,대구광역시 달서구 공원순환로 216,대구광역시 달서구 성당동 195-11,대구환경공단,053-605-8060,35.8445651,128.5623269,2018-07-31,3470000,대구광역시 달서구,
달서시장공영주차장,입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,N,대구광역시 달서구 당산로 32,대구광역시 달서구 본리동 154-4,대구환경공단,053-605-8060,35.8401398,128.5450738,2018-07-31,3470000,대구광역시 달서구,
대구지방합동청사,청사 뒤편 주차장,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달서구 화암로 301,대구광역시 달서구 대곡동 1035,환경부(한국자동차환경협회),1661-9408,35.804074,128.516516,2018-07-31,3470000,대구광역시 달서구,
대구환경공단(본부),입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 달서구 달서대로 210,대구광역시 달서구 대천동 770,대구환경공단,053-605-8060,35.820763,128.495051,2018-07-31,3470000,대구광역시 달서구,
목포관광안내소,전라남도 목포시 영산로 843 목포관광안내소 옆(무안에서 목포로진입해서 오른쪽 목포관광안내소옆),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 영산로 843,전라남도 목포시 대양동 276,한국자동차환경협회,1661-9408,34.838268,126.422267,2018-05-03,4800000,전라남도 목포시,
목포시청,전라남도 목포시청 의회 뒷편주차장,전라남도,연중무휴,00:00,00:00,Y,N,,1,0,N,전라남도 목포시 양을로 203,전라남도 목포시 용당동1188-2,한국자동차환경협회,1661-9409,34.811622,126.391975,2018-05-03,4800000,전라남도 목포시,
한국전력,전라남도 목포시 한국전력공사목포지점내,전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 삼학로370,전라남도 목포시 용해동 115-2,한국전력,061-270-2245,34.803661,126.409495,2018-05-03,4800000,전라남도 목포시,
녹색에너지연구원내,전라남도 목포시 녹색에너지연구원내 (어린이도서관근방),전라남도,연중무휴,00:00,00:00,Y,N,,0,0,N,전라남도 목포시 삼향천로177,전라남도 목포시 석현동 1175-4,녹색에너지연구원내,061-288-1028,34.815356,126.426555,2018-05-03,4800000,전라남도 목포시,
상동LG전자주차장내,전라남도 목포시 상동LG전자주차장내,전라남도,연중무휴,00:00,00:00,Y,N,,0,0,N,전라남도 목포시 백년대로282,전라남도 목포시 상동 891,포스코ICT,1600-4047,34.802708,126.419142,2018-05-03,4800000,전라남도 목포시,
동양자동차정비,전라남도 목포시 동양자동차정비,전라남도,연중무휴,00:00,00:00,Y,N,,0,0,N,전라남도 목포시 녹색로126,전라남도 목포시 옥암동 914-9,포스코ICT,1600-4048,34.815063,126.428215,2018-05-03,4800000,전라남도 목포시,
울산 동구 전하체육센터,외부 주차장,울산광역시,연중무휴,00:00,12:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,울산광역시 동구 봉수로 285(전하동),울산광역시 동구 전하동 559-8,환경부(한국자동차환경협회),1661-9408,35.511899,129.422282,2018-06-30,3710000,울산광역시 동구,
전하시장 공영주차장,외부 주차장,울산광역시,연중무휴,00:00,12:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,울산광역시 동구 녹수2길 10(전하동),울산광역시 동구 전하동 451-3,한국전력공사,1899-2100,35.513592,129.430963,2018-06-30,3710000,울산광역시 동구,
해남광장,해남군 해남읍 해남로 160-60,전라남도,-,00:00,23:59,N,Y,,,1,N,전라남도 해남군 해남읍 해남로 160-60,전라남도 해남군 해남읍 신안리 6,한국환경공단,032-590-3683,34.5661912,126.622121,2018-02-19,4930000,전라남도 해남군,
우수영관광지,해남군 문내면 관광레저로 12,전라남도,-,00:00,23:59,N,Y,,,1,N,전라남도 해남군 문내면 관광레저로 12,전라남도 해남군 문내면 학동리 1021,한국환경공단,032-590-3684,34.5726567,126.309506,2018-02-19,4930000,전라남도 해남군,
땅끝해변주차장,해남군 송지면 송호로 105-1,전라남도,-,00:00,23:59,N,Y,,,1,N,전라남도 해남군 송지면 송호로 105-1,전라남도 해남군 송지면 송호리 1051,한국환경공단,032-590-3685,34.3120031,126.5208404,2018-02-19,4930000,전라남도 해남군,
송파구청,송파구청 지상주차장,서울특별시,없음,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 송파구 올림픽로 326,서울특별시 송파구 신천동 29-5,서울특별시 송파구청,02-2147-2131,37.514447,127.105918,2018-07-31,3230000,서울특별시 송파구,
롯데마트 잠실점,롯데마트 잠실점 지하주차장 1층 M148구역,서울특별시,"매월2,4주일요일",10:00,23:00,N,Y,DC차데모+AC3상,0,1,Y,서울특별시 송파구 올림픽로 240,서울특별시 송파구 잠실동 40-1,전기자동차 헬프데스크,1661-9408,37.511267,127.080518,2018-07-31,3230000,서울특별시 송파구,
복정역 공영주차장,서울특별시 송파구 장지동,서울특별시,없음,00:00,00:00,N,Y,DC차데모+AC3상,0,1,Y,,서울특별시 송파구 장지동 600-2,전기자동차 헬프데스크,1661-9408,37.469749,127.126622,2018-07-31,3230000,서울특별시 송파구,
마천동1공영주차장,서울특별시 송파구 성내천로43길 6,서울특별시,없음,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 송파구 성내천로43길 6,서울특별시 송파구 마천동 215,한전강동송파지사,02-480-2275,37.495400,127.155500,2018-07-31,3230000,서울특별시 송파구,
가락시장,서울특별시 송파구 양재대로 932,서울특별시,없음,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,3,Y,서울특별시 송파구 양재대로 932,서울특별시 송파구 가락동 600,한전강동송파지사,02-480-2275,37.493300,127.112300,2018-07-31,3230000,서울특별시 송파구,
서울시 농수산식품공사 친환경농산물 집배송센터,서울 송파구 양재대로 932,서울특별시,없음,00:00,00:00,Y,N,AC완속,1,,Y,서울특별시 송파구 양재대로 932,,포스코ICT,02-3435-0338,37.493395,127.111499,2018-07-31,3230000,서울특별시 송파구,
서울시 농수산식품공사 가락몰 판매동,서울 송파구 양재대로 932,서울특별시,없음,00:00,00:00,Y,N,AC완속,3,,Y,서울특별시 송파구 양재대로 932,,포스코ICT,02-3435-0338,37.493395,127.111499,2018-07-31,3230000,서울특별시 송파구,
서울시 농수산식품공사 가락몰 관리업무동,서울 송파구 양재대로 932,서울특별시,없음,00:00,00:00,Y,N,AC완속,3,,Y,서울특별시 송파구 양재대로 932,,포스코ICT,02-3435-0338,37.493395,127.111499,2018-07-31,3230000,서울특별시 송파구,
서울시 대명레저산업 본사,서울 송파구 법원로 135,서울특별시,없음,00:00,00:00,Y,N,AC완속,2,,Y,서울특별시 송파구 법원로 135,,포스코ICT,02-3435-0338,37.485772,127.120397,2018-07-31,3230000,서울특별시 송파구,
롯데마트 송파점,서울특별시 송파구 중대로 80,서울특별시,"매월2,4주일요일",10:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 송파구 중대로 80,,환경부,1661-9408,37.491710,127.117737,2018-07-31,3230000,서울특별시 송파구,
아시아공원 공영주차장,서울특별시 송파구 잠실동 84,서울특별시,없음,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,3,Y,서울특별시 송파구 잠실동 84,,환경부,1661-9408,37.510510,127.076340,2018-07-31,3230000,서울특별시 송파구,
방이동 공영주차장,서울특별시 송파구 백제고분로 481,서울특별시,없음,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 송파구 백제고분로 481,,한국전력,1899-2100,37.514897,127.113133,2018-07-31,3230000,서울특별시 송파구,
롯데월드타워 & 몰 지하주차장,서울특별시 송파구 올림픽로 300 롯데월드타워 지하 주차장,서울특별시,없음,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,112,6,Y,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29,롯데물산,02-3213-0251,37.513689,127.104454,2018-07-31,3230000,서울특별시 송파구,
이마트 금정점,"부산광역시 금정구 중앙대로1841번길 24 , 지상주차장 3층 73구역(구서동 368)",부산광역시,"2,4째주 일요일",10:00,23:00,N,Y,DC차데모,,1,N,"부산광역시 금정구 중앙대로1841번길 24 , 지상주차장 3층 73구역(구서동 368)",부산광역시 금정구 구서동 368,환경부(한국자동차환경협회),1661-9408,35.249918,129.090778,2018-08-01,3350000,부산광역시 금정구,
남산역 공영주차장,"부산광역시 금정구 중앙대로 2030 , 주차장 입구 정면(남산동 893-8)",부산광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,"부산광역시 금정구 중앙대로 2030 , 주차장 입구 정면(남산동 893-8)",부산광역시 금정구 남산동 893-8,환경부(한국자동차환경협회),1661-9408,35.265403,129.092510,2018-08-01,3350000,부산광역시 금정구,
부곡1동주민센터,부산광역시 금정구 동부곡로6번길 29(부곡동) 부곡1동주민센터,부산광역시,주말 및 공휴일,09:00,18:00,Y,N,,1,,N,부산광역시 금정구 동부곡로6번길 29(부곡동) 부곡1동주민센터,부산광역시 금정구 부곡동 323-1,에버온,1661-7766,35.224410,129.092121,2018-08-01,3350000,부산광역시 금정구,
구서1동주민센터,부산광역시 금정구 수림로72번길 123(구서동) 구서1동주민센터,부산광역시,주말 및 공휴일,09:00,18:00,Y,N,,1,,N,부산광역시 금정구 수림로72번길 123(구서동) 구서1동주민센터,부산광역시 금정구 구서동 1063,에버온,1661-7766,35.245116,129.086960,2018-08-01,3350000,부산광역시 금정구,
남산동행정복지센터,부산광역시 금정구 중앙대로2097번길 4(남산동) 남산동행정복지센터,부산광역시,주말 및 공휴일,09:00,18:00,Y,N,,1,,N,부산광역시 금정구 중앙대로2097번길 4(남산동) 남산동행정복지센터,부산광역시 금정구 남산동 21-5,에버온,1661-7766,35.271628,129.092254,2018-08-01,3350000,부산광역시 금정구,
장전2동 주민센터,부산광역시 금정구 소정로 19(장전동) 장전2동 주민센터,부산광역시,주말 및 공휴일,09:00,18:00,Y,N,,1,,N,부산광역시 금정구 소정로 19(장전동) 장전2동 주민센터,부산광역시 금정구 장전동 715,에버온,1661-7766,35.227752,129.081004,2018-08-01,3350000,부산광역시 금정구,
서2동주민센터,부산광역시 금정구 서동중심로 33 서2동주민센터(서동 297-446 서2동주민센터),부산광역시,주말 및 공휴일,09:00,18:00,Y,N,,1,,N,부산광역시 금정구 서동중심로 33 서2동주민센터(서동 297-446 서2동주민센터),부산광역시 금정구 서동 297-446,에버온,1661-7766,35.212874,129.104409,2018-08-01,3350000,부산광역시 금정구,
금정 사옥,부산광역시 금정구 중앙대로 1883,부산광역시,-,00:00,23:59,N,Y,DC차데모+DC콤보,,1,N,부산광역시 금정구 중앙대로 1883,부산광역시 금정구 구서동 248-10,현대자동차,051-514-7077,35.252493,129.091015,2018-08-01,3350000,부산광역시 금정구,
금정 사옥,부산광역시 금정구 중앙대로 1883,부산광역시,-,00:00,23:59,Y,N,,1,,N,부산광역시 금정구 중앙대로 1883,부산광역시 금정구 구서동 248-10,현대자동차,051-514-7077,35.252493,129.091015,2018-08-01,3350000,부산광역시 금정구,
구서역,부산광역시 금정구 구서동 475,부산광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,부산광역시 금정구 금정로233번길 46,부산광역시 금정구 부산광역시 금정구 구서동 475,한국전력,051-510-2278,35.245019,129.091066,2018-08-01,3350000,부산광역시 금정구,
부산대남측,부산광역시 금정구 부곡동 441-27,부산광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,,부산광역시 금정구 부산광역시 금정구 부곡동 441-27,한국전력,051-510-2278,35.228018,129.089326,2018-08-01,3350000,부산광역시 금정구,
부산대북측,부산광역시 금정구 부곡동 399,부산광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,,부산광역시 금정구 부곡동 399,한국전력,051-510-2278,35.235050,129.089468,2018-08-01,3350000,부산광역시 금정구,
장전역 공영주차장,부산광역시 금정구 장전1동 242,부산광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,Y,,부산광역시 금정구 장전동 242,환경부(한국자동차환경협회),1661-9408,35.238281,129.088056,2018-08-01,3350000,부산광역시 금정구,
부산광역시 LGBESTSHOP(금정점),부산광역시 금정구 중앙대로 1715  주차장,부산광역시,-,00:00,23:59,Y,N,,1,,N,부산광역시 금정구 중앙대로 1715  주차장,부산광역시 금정구 부곡동 225-8,포스코ICT,1600-4047,35.237774,129.091516,2018-08-01,3350000,부산광역시 금정구,
부산광역시 이마트(금정점),부산광역시 금정구 중앙대로1841번길 24  본관3층 F68구역,부산광역시,"2,4째주 일요일",10:00,23:00,Y,N,,1,,N,부산광역시 금정구 중앙대로1841번길 24  본관3층 F68구역,부산광역시 금정구 구서동 368,포스코ICT,1600-4047,35.249918,129.090778,2018-08-01,3350000,부산광역시 금정구,
울산대공원 정문주차장,정문주차장 대형주차장 입구,울산광역시,연중,00:00,24:00,N,Y,"AC3상, DC콤보, DC차데모",,2,N,울산광역시 남구 대공원로94,울산광역시 남구 옥동 146-1,한국전력공사 울산지사,052-270-3243,35.532522,129.291891,2018-08-17,B553560,울산시설공단,
울산대공원 남문주차장,남문주차장 A6구역,울산광역시,연중,00:00,24:00,N,Y,"AC3상, DC콤보, DC차데모",,2,N,울산광역시 남구 대공원로94,울산광역시 남구 옥동 146-1,한국전력공사 울산지사,052-270-3243,35.527103,129.283087,2018-08-17,B553560,울산시설공단,
동천체육관,동천체육관 동측주차장,울산광역시,연중,00:00,24:00,N,Y,"AC3상, DC콤보, DC차데모",,1,N,울산광역시 중구 염포로 85,울산광역시 중구 남외동 754,한국자동차환경협회,02-3473-1221,35.562057,129.351955,2018-08-17,B553560,울산시설공단,
동천체육관,동천체육관 동측주차장,울산광역시,연중,00:00,24:00,N,Y,"AC3상, DC콤보, DC차데모",,5,N,울산광역시 중구 염포로 85,울산광역시 중구 남외동 754,한국전력공사 울산지사,052-270-3224,35.562057,129.351955,2018-08-17,B553560,울산시설공단,
남악복합주민센터,전라남도 무안군 삼향읍 남악3로 40 지하주차장,전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,2,N,전라남도 무안군 삼향읍 남악3로 40,전라남도 무안군 삼향읍 남악리 2615,무안군,061-450-4153,34.809137,126.460982,2018-06-14,4950000,전라남도 무안군,
현경면사무소,"전라남도 무안군 현경면 현해로 84, 입구 왼쪽",전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,1,N,전라남도 무안군 현경면 현해로 84,전라남도 무안군 현경면 외반리 567,환경부(한국자동차환경협회),1661-9408,35.021349,126.411922,2018-06-14,4950000,전라남도 무안군,
무안공항,전라남도 무안군 망운면 공항로 970-260,전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,1,N,전라남도 무안군 망운면 공항로 970-260,전라남도 무안군 망운면 피서리 1050,환경부(한국자동차환경협회),1661-9408,34.992447,126.388028,2018-06-14,4950000,전라남도 무안군,
무안청호쉼터,전라남도 무안군 일로읍 청호리 산23-65,전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,2,N,,전라남도 무안군 일로읍 청호리 산23-65,익산지방국토관리청,061-850-9114,34.789093,126.515085,2018-06-14,4950000,전라남도 무안군,
전라남도청,전라남도 무안군 삼향읍 오룡길 1,전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,1,N,전라남도 무안군 삼향읍 오룡길 1,전라남도 무안군 삼향읍 남악리 1000,환경부(한국자동차환경협회),1661-9408,34.817109,126.464478,2018-06-14,4950000,전라남도 무안군,
현대제일주유소,전라남도 무안군 무안읍 무안로 440,전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,1,N,전라남도 무안군 무안읍 무안로 440,전라남도 무안군 무안읍 성남리 301-1,환경부(한국자동차환경협회),1661-9408,34.984095,126.474525,2018-06-14,4950000,전라남도 무안군,
한국전력공사 무안지사,전라남도 무안군 무안읍 교촌리 85-5,전라남도,없음,00:00,24:00,N,Y,"DC차데모, AC3상, DC콤보",,2,N,,전라남도 무안군 무안읍 교촌리 85-5,한국전력공사 무안지사,061-450-0216,34.991713,126.470822,2018-06-14,4950000,전라남도 무안군,
홈플러스 영등포점,주차장 내,서울특별시,x,10:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,서울특별시 영등포구 당산로42,서울특별시 영등포구 문래동3가 55-3,환경관리공단,032-590-3678,37.518171,126.895916,2018-02-20,3180000,서울특별시 영등포구,
당산에스에이치빌 아파트 앞,아파트 앞 도로,서울특별시,x,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,서울특별시 영등포구 당산동3가 562,서울특별시 영등포구 당산동3가 2-5,한국전력,02-787-8341,37.524288,126.901646,2018-02-20,3180000,서울특별시 영등포구,
신길제5동 주민센터,주민센터 주차장,서울특별시,x,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,서울특별시 영등포구 도림로 264,서울특별시 영등포구 신길동 422,한국전력,02-787-8341,37.501598,126.905189,2018-02-20,3180000,서울특별시 영등포구,
영등포 제3공영 주차장,공영주차장 내,서울특별시,x,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 영등포구 영중로3길 7,서울특별시 영등포구 영등포동4가 425-6,환경관리공단,032-590-3678,37.516394,126.905528,2018-02-20,3180000,서울특별시 영등포구,
신길4동1마을공원 공영주차장,공영주차장 내,서울특별시,x,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 영등포구 신길로40길 5,서울특별시 영등포구 신길동 232-20,환경관리공단,032-590-3678,37.507080,126.911729,2018-02-20,3180000,서울특별시 영등포구,
영등포구청 환승공영주차장,영등포구청 환승공영주차장 내,서울특별시,x,06:00,21:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 영등포구 양산로111,서울특별시 영등포구 당산동3가 370-4,시그넷시스템,070-4618-0124,37.524747,126.895454,2018-02-20,3180000,서울특별시 영등포구,
영등포구청 별관,영등포구청 별관 주차장 내,서울특별시,x,00:00,00:00,Y,N,N,2,0,Y,서울특별시 영등포구 선유동1로 80,서울특별시 영등포구 당산동3가 560,㈜피앤이솔루션,070-4338-3505,37.528402,126.894421,2018-02-20,3180000,서울특별시 영등포구,
영등포구청 본관,영등포구청 본관 지하주차장 1층,서울특별시,x,00:00,00:00,Y,N,N,3,0,Y,서울특별시 영등포구 당산로 123,서울특별시 영등포구 당산동3가 385-1,㈜피앤이솔루션,070-4338-3505,37.526147,126.896175,2018-02-20,3180000,서울특별시 영등포구,
홍은1동주민센터 전기차충전소,홍은1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 홍은중앙로 85,서울특별시 서대문구 홍은동 11-853,한국전기차충전서비스(KEVCS),1522-1782,37.599694,126.9496939,2018-08-13,3120000,서울특별시 서대문구,
홍은2동주민센터 전기차충전소,홍은2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 모래내로 334,서울특별시 서대문구 홍은동 273-10,한국전기차충전서비스(KEVCS),1522-1782,37.5800601,126.9319514,2018-08-13,3120000,서울특별시 서대문구,
홍제견인차량보관소 주차장 전기차충전소,홍제견인차량보관소,서울특별시,X,00:00,00:00,Y,Y,"AC3상, DC차데모, DC콤보",1,1,N,서울특별시 서대문구 홍제내길 227,서울특별시 서대문구 홍제동 294-84,시그넷이브이주식회사,070-4618-6057,37.5907812,126.9388115,2018-08-13,3120000,서울특별시 서대문구,
홍제2동주민센터 전기차충전소,홍제2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 통일로34길 27,서울특별시 서대문구 홍제동 459-4,한국전기차충전서비스(KEVCS),1522-1782,37.5860597,126.947172,2018-08-13,3120000,서울특별시 서대문구,
홍제3동주민센터 전기차충전소,홍제3동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 세검정로4길 32,서울특별시 서대문구 홍제동 7-13,한국전기차충전서비스(KEVCS),1522-1782,37.5937254,126.9475606,2018-08-13,3120000,서울특별시 서대문구,
북가좌1동주민센터 전기차충전소,북가좌1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 수색로100-55,서울특별시 서대문구 북가좌동 477,한국전기차충전서비스(KEVCS),1522-1782,37.5742842,126.9079675,2018-08-13,3120000,서울특별시 서대문구,
북가좌2동주민센터 전기차충전소,북가좌2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 응암로1길10,서울특별시 서대문구 북가좌동 324-13,한국전기차충전서비스(KEVCS),1522-1782,37.5814484,126.9089814,2018-08-13,3120000,서울특별시 서대문구,
남가좌1동주민센터 전기차충전소,남가좌1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,한국전기차충전서비스(KEVCS),1522-1782,37.5732691,126.9174743,2018-08-13,3120000,서울특별시 서대문구,
남가좌2동주민센터,남가좌2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 증가로10길 28,서울특별시 서대문구 남가좌동 342-7,한국전기차충전서비스(KEVCS),1522-1782,37.5758313,126.9195745,2018-08-13,3120000,서울특별시 서대문구,
천연동주민센터 전기차충전소,천연동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 성산로 694,서울특별시 서대문구 영천동 101,한국전기차충전서비스(KEVCS),1522-1782,37.5710895,126.9568659,2018-08-13,3120000,서울특별시 서대문구,
신촌동주민센터 전기차중전소,신촌동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 이화여대길 92-8,서울특별시 서대문구 대현동 142-4,한국전기차충전서비스(KEVCS),1522-1782,37.4705963,126.9518995,2018-08-13,3120000,서울특별시 서대문구,
